IdVenta,DocuVenta,Fecha,Total,SubTotal,IGV,IdVendedor,IdCliente
135,B/001-000960,2018-01-13 00:00:00,19,15.970000000000001,3.0299999999999998,3,8
136,B/001-000961,2018-01-13 00:00:00,20,16.809999999999999,3.1899999999999999,3,9
137,B/001-000962,2018-01-13 00:00:00,45.799999999999997,38.490000000000002,7.3099999999999996,3,12
138,B/001-000963,2018-01-13 00:00:00,18,15.130000000000001,2.8700000000000001,3,11
139,B/001-000964,2018-01-13 00:00:00,8,6.7199999999999998,1.28,3,12
140,B/001-000965,2018-01-13 00:00:00,6,5.04,0.95999999999999996,3,13
141,B/001-000966,2018-01-13 00:00:00,4,3.3599999999999999,0.64000000000000001,3,13
142,B/001-000967,2018-01-13 00:00:00,14,11.76,2.23,3,10
143,B/001-000968,2018-01-13 00:00:00,19,15.970000000000001,3.0299999999999998,3,10
144,B/001-000969,2018-01-13 00:00:00,20,16.809999999999999,3.1899999999999999,3,10
145,B/001-000970,2018-01-13 00:00:00,25.5,21.43,4.0700000000000003,3,2
146,B/001-000971,2018-01-13 00:00:00,36,30.25,5.75,3,3
147,B/001-000972,2018-01-14 00:00:00,8,6.7199999999999998,1.28,3,4
148,B/001-000973,2018-01-14 00:00:00,19,15.970000000000001,3.0299999999999998,3,5
149,B/001-000974,2018-01-14 00:00:00,12,10.08,1.9199999999999999,3,7
150,B/001-000975,2018-01-14 00:00:00,10.5,8.8200000000000003,1.6799999999999999,3,6
151,B/001-000976,2018-01-14 00:00:00,9.5,7.9800000000000004,1.52,3,23
152,B/001-000977,2018-01-14 00:00:00,35,29.41,5.5899999999999999,3,22
153,B/001-000978,2018-01-14 00:00:00,9.5,7.9800000000000004,1.52,3,21
154,B/001-000979,2018-01-14 00:00:00,6.5,5.46,1.04,3,22
155,B/001-000980,2018-01-14 00:00:00,13,10.92,2.0699999999999998,3,23
156,B/001-000981,2018-01-14 00:00:00,10,8.4000000000000004,1.6000000000000001,3,24
157,B/001-000982,2018-01-14 00:00:00,5,4.2000000000000002,0.80000000000000004,3,23
158,B/001-000983,2018-01-14 00:00:00,8,6.7199999999999998,1.28,3,23
159,B/001-000984,2018-01-14 00:00:00,6,5.04,0.95999999999999996,3,25
160,B/001-000985,2018-01-14 00:00:00,47.75,40.130000000000003,7.6200000000000001,3,25
161,B/001-000986,2018-01-14 00:00:00,8.8000000000000007,7.3899999999999997,1.3999999999999999,3,26
162,B/001-000987,2018-01-14 00:00:00,29,24.370000000000001,4.6299999999999999,3,26
163,B/001-000989,2018-01-14 00:00:00,79.540000000000006,66.840000000000003,12.699999999999999,3,27
164,B/001-000990,2018-01-14 00:00:00,12.199999999999999,10.25,1.95,3,27
165,B/001-000991,2018-01-14 00:00:00,70.700000000000003,59.409999999999997,11.289999999999999,3,28
166,B/001-000992,2018-01-14 00:00:00,26.100000000000001,21.93,4.1699999999999999,3,23
167,B/001-000993,2018-01-14 00:00:00,25.5,21.43,4.0700000000000003,3,13
168,B/001-000995,2018-01-15 00:00:00,16.91,14.210000000000001,2.7000000000000002,3,23
169,B/001-000996,2018-01-15 00:00:00,7.5,6.2999999999999998,1.2,3,22
170,B/001-000997,2018-01-15 00:00:00,6.5,5.46,1.04,3,12
171,B/001-000998,2018-01-15 00:00:00,32,26.890000000000001,5.1100000000000003,3,12
172,B/001-000999,2018-01-15 00:00:00,134.30000000000001,112.86,21.440000000000001,3,23
173,B/001-001000,2018-01-15 00:00:00,67.700000000000003,56.890000000000001,10.81,3,23
174,B/001-001002,2018-01-15 00:00:00,5,4.2000000000000002,0.80000000000000004,3,23
175,B/001-001003,2018-01-15 00:00:00,56.5,47.479999999999997,9.0199999999999996,3,23
176,B/001-001004,2018-01-15 00:00:00,10,8.4000000000000004,1.6000000000000001,3,12
177,B/001-001005,2018-01-15 00:00:00,6,5.04,0.95999999999999996,3,23
178,B/001-001006,2018-01-15 00:00:00,29,24.370000000000001,4.6299999999999999,3,12
179,B/001-001007,2018-01-15 00:00:00,5,4.2000000000000002,0.80000000000000004,3,2
180,B/001-001008,2018-01-15 00:00:00,13,10.92,2.0699999999999998,3,3
181,B/001-001009,2018-01-15 00:00:00,20,16.809999999999999,3.1899999999999999,3,4
182,B/001-001010,2018-01-15 00:00:00,5,4.2000000000000002,0.80000000000000004,3,5
183,B/001-001011,2018-01-15 00:00:00,33.5,28.149999999999999,5.3499999999999996,3,6
184,B/001-001012,2018-01-16 00:00:00,5,4.2000000000000002,0.80000000000000004,3,5
185,B/001-001013,2018-01-16 00:00:00,9,7.5599999999999996,1.4399999999999999,3,6
186,B/001-001014,2018-01-16 00:00:00,18,15.130000000000001,2.8700000000000001,3,7
187,B/001-001015,2018-01-16 00:00:00,23,19.329999999999998,3.6699999999999999,3,8
188,B/001-001016,2018-01-16 00:00:00,5,4.2000000000000002,0.80000000000000004,3,7
189,B/001-001017,2018-01-16 00:00:00,16,13.449999999999999,2.5600000000000001,3,8
190,B/001-001018,2018-01-16 00:00:00,20,16.809999999999999,3.1899999999999999,3,9
191,B/001-001019,2018-01-16 00:00:00,20,16.809999999999999,3.1899999999999999,3,12
